timestamp,sum,mean,median,count,rate,btc_price,last
1581657896.9162877,360.62,0.15,0,2464,1.37,10201.65,0.18
1581657927.8427353,364.09,0.15,0,2470,1.37,10192.22,0.3
1581657958.1853712,363.02,0.15,0,2466,1.37,10196.76,0.63
1581657989.8144,360.67,0.15,0,2478,1.38,10191.88,0
1581658019.9073157,363.27,0.15,0,2487,1.38,10188.74,-0.4
1581658050.7157128,363.16,0.15,0,2489,1.38,10184.31,0
1581658081.2808776,366.23,0.15,0,2497,1.39,10189.99,0
1581658111.361457,370.4,0.15,0,2522,1.4,10187.76,0
1581658142.122533,369.89,0.15,0,2536,1.41,10190,0
1581658173.3450289,371.96,0.15,0,2548,1.42,10189.99,0.42
1581658203.996554,369.31,0.15,0,2541,1.41,10185.68,-0.14
1581658234.438439,362.66,0.15,0,2496,1.39,10185.45,0.46
1581658264.5451002,358.91,0.14,0,2476,1.38,10185.53,0
1581658294.6020129,360.19,0.15,0,2473,1.37,10184.87,0
1581658324.6437526,361.01,0.15,0,2488,1.38,10185.08,0.51
1581658355.4508984,367.53,0.15,0,2515,1.4,10189.99,0.13
1581658385.764337,366.5,0.15,0,2489,1.38,10190,0.47
1581658417.6259859,370.34,0.15,0,2495,1.39,10190,0.58
1581658448.0168417,371.62,0.15,0,2503,1.39,10197.03,0.43
1581658479.3575702,370.1,0.15,0,2509,1.39,10200,0.03
1581658509.5980055,371.23,0.15,0,2505,1.39,10200,0
1581658541.733964,371.41,0.15,0,2503,1.39,10200,0
1581658571.908223,366.96,0.15,0,2501,1.39,10200,0.06
1581658602.2612069,368.41,0.15,0,2510,1.4,10199.99,0
1581658632.523399,369.19,0.15,0,2524,1.4,10199.96,0.51
1581658663.5675666,370.57,0.15,0,2527,1.4,10199.99,0.09
1581658693.6126268,372.67,0.15,0,2543,1.41,10200,0
1581658723.642472,371.92,0.15,0,2549,1.42,10200,0.29
1581658754.5924964,378.01,0.15,0,2554,1.42,10200,0.15
1581658785.9466665,382.7,0.15,0.02,2569,1.43,10180,0.23
