time,high,low,open,volumefrom,volumeto,close
1503500400,680.23,666.74,669.92,7896.4,5264827.88,666.74
1503504000,672.47,663.16,666.74,4829.37,3210823.47,664.85
1503507600,665.89,653.34,664.85,5600.85,3727184.04,665.47
1503511200,671.33,660.9,665.47,6253.34,4132853.72,660.9
1503514800,668.74,653.46,660.9,8022.08,5308349.23,661.72
1503518400,671.41,654.87,661.72,7427.14,4873057.94,656.11
1503522000,660.59,648.29,656.11,7062.81,4656948.58,659.36
1503525600,674.81,662.78,659.36,6970.88,4643278.98,666.1
1503529200,678.31,665.06,666.1,5912.02,4000392.61,676.65
1503532800,679.96,672.92,676.65,5627.8,3815046,677.89
1503536400,701.11,671.01,674.51,9537.22,6561334.54,671.02
1503540000,670.57,646.92,672.93,18258.14,12076661.64,661.44
1503543600,662.71,653.6,661.44,7536.23,4938171.4,655.26
1503547200,661.49,654.04,655.26,5973.31,3946352.07,660.66
1503550800,664.55,658.33,660.66,6564.3,4340550.37,661.24
1503554400,662.74,650.28,661.24,8192.91,5344682.59,652.35
1503558000,657.5,642.45,652.35,11397.69,7355784.37,645.38
1503561600,654.25,639.94,645.38,10153.05,6621255.61,652.14
1503565200,651.27,644.17,652.14,7596.52,4934710.98,649.6
1503568800,649.83,636.38,648.07,1898.96,1221776.41,640.88
1503572400,649.14,638.66,644.82,4906.78,3152291.35,642.44
1503576000,646.48,631.48,643.47,4006.91,2551710.24,645.74
1503579600,653.48,641.33,643.8,6957.57,4467899.9,642.16
1503583200,652.69,642.93,642.16,7641.1,4932169.11,645.48
1503586800,646.2,636.33,645.73,4355.18,2771764.94,641.6
1503590400,640.27,626.75,641.67,10437.25,6594454.36,631.82
1503594000,631,621.73,631.82,9587.18,6025249.19,628.47
1503597600,634,600.96,628.47,22824.47,13784306.53,603.93
1503601200,615.59,599.07,603.93,15509.61,9547495.62,615.59
1503604800,642.28,612.64,615.59,9837.83,6201967.4,630.42
1503608400,636.48,622.08,630.42,8643.2,5406071.79,625.47
1503612000,640.4,626.96,625.47,7494.96,4705560.47,627.83
1503615600,625.73,609.32,627.83,9141.71,5645225.78,617.52
1503619200,627.29,618.54,617.52,7002.43,4355790.91,622.04
1503622800,641.27,617.32,622.04,8784.87,5534003.46,629.95
1503626400,631.26,622.99,629.95,7599.85,4747887.92,624.73
1503630000,624.24,615.55,624.73,6906.76,4281452.74,619.89
1503633600,625.72,615.78,619.89,5667.32,3516742.44,620.53
1503637200,626.41,616.04,620.53,6588.48,4121421.53,625.55
1503640800,646.08,626.59,625.55,9480.76,6080176.64,641.32
1503644400,646.25,630.6,641.32,6620.46,4180637.41,631.47
1503648000,640.72,632.01,631.47,5518.22,3509193.33,635.93
1503651600,642.89,631.98,635.93,4813.15,3092203.16,642.45
1503655200,646.8,637.67,642.45,5442.79,3520406.79,646.8
1503658800,664.74,643.86,643.87,8839.66,5809179.22,662.13
